coffee shop,nondomestic,public,artificial
tavern,nondomestic,public,artificial
bar,nondomestic,public,artificial
saloon,nondomestic,public,artificial
theatre,nondomestic,public,artificial
theater,nondomestic,public,artificial
movie theater,nondomestic,public,artificial
cinema,nondomestic,public,artificial
circus,nondomestic,public,artificial
zoo,nondomestic,public,artificial
courthouse,nondomestic,public,artificial
town square,nondomestic,public,artificial
commons,nondomestic,public,artificial
baths,nondomestic,public,artificial
gymnasium,nondomestic,public,artificial
shop,nondomestic,public,artificial
store,nondomestic,public,artificial
market,nondomestic,public,artificial
auction,nondomestic,public,artificial
auction house,nondomestic,public,artificial
grocer,nondomestic,public,artificial
booth,nondomestic,public,artificial
restaurant,nondomestic,public,artificial
eating house,nondomestic,public,artificial
chop house,nondomestic,public,artificial
five and dime,nondomestic,public,artificial
warehouse,nondomestic,public,artificial
barracks,nondomestic,public,artificial
stockade,nondomestic,public,artificial
stadium,nondomestic,public,artificial
street,nondomestic,public,artificial
road,nondomestic,public,artificial
highway,nondomestic,public,artificial
church,nondomestic,public,artificial
churchyard,nondomestic,public,artificial
cemetery,nondomestic,public,artificial
pumphouse,nondomestic,public,artificial
icehouse,nondomestic,public,artificial
ship,nondomestic,public,artificial
slaughterhouse,nondomestic,public,artificial
meat locker,nondomestic,public,artificial
mall,nondomestic,public,artificial
bank,nondomestic,public,artificial
bookstore,nondomestic,public,artificial
apothecary,nondomestic,public,artificial
pharmacy,nondomestic,public,artificial
vendor,nondomestic,public,artificial
parking lot,nondomestic,public,artificial
quarry,nondomestic,public,artificial
train station,nondomestic,public,artificial
bus stop,nondomestic,public,artificial
brokerage,nondomestic,public,artificial
alley,nondomestic,public,artificial
city,nondomestic,public,artificial
factory,nondomestic,public,artificial
commissary,nondomestic,public,artificial
temple,nondomestic,public,artificial
cathedral,nondomestic,public,artificial
train,nondomestic,public,artificial
bus,nondomestic,public,artificial
omnibus,nondomestic,public,artificial
beach,nondomestic,public,Natural
forest,nondomestic,public,Natural
moors,nondomestic,public,Natural
mountains,nondomestic,public,Natural
river,nondomestic,public,Natural
stream,nondomestic,public,Natural
sea,nondomestic,public,Natural
ocean,nondomestic,public,Natural
bay,nondomestic,public,Natural
island,nondomestic,public,Natural
